Organization,State,Categories,Contact
Pushp-Kiran Union For Real Enlightenment (PURE),maharashtra,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9212102580 Email:  Prashant.pal@pureindia.org Website:  https://www.pureindia.org/
Pushp-Kiran Union For Real Enlightenment (PURE),rajasthan,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9212102580 Email:  Prashant.pal@pureindia.org Website:  https://www.pureindia.org/
Pushp-Kiran Union For Real Enlightenment (PURE),tamil nadu,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9212102580 Email:  Prashant.pal@pureindia.org Website:  https://www.pureindia.org/
Pushp-Kiran Union For Real Enlightenment (PURE),uttarakhand,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9212102580 Email:  Prashant.pal@pureindia.org Website:  https://www.pureindia.org/
Pushp-Kiran Union For Real Enlightenment (PURE),uttar pradesh,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9212102580 Email:  Prashant.pal@pureindia.org Website:  https://www.pureindia.org/
Puttenahalli Neighbourhood Lake Improvement Trust,karnataka,"Environment, Water, Sanitation & Hygiene",Tel:  7259722996 Email:  pnlitonline@gmail.com Website:  http://www.puttenahallilake.in/
Quest Alliance (Quality Education And Skills Training Alliance),andhra pradesh,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),assam,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),bihar,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),delhi,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),gujarat,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),jharkhand,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),karnataka,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),kerala,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),maharashtra,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),nagaland,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),odisha,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),rajasthan,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),tamil nadu,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Quest Alliance (Quality Education And Skills Training Alliance),telangana,"Education, Livelihood",Tel:  9980102728 Email:  info@questalliance.net Website:  https://www.questalliance.net
Rachana Society For Social Reconstruction.,maharashtra,"Education, Health, Rural Development, Women Empowerment",Tel:  9423013266 Email:  rachana.org@gmail.com Website:  http://rachanasociety.letsendorse.org
Rainbow Foundation India,andhra pradesh,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,bihar,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,delhi,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,jharkhand,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,karnataka,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,maharashtra,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,tamil nadu,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,telangana,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Foundation India,west bengal,"Education, Health, Livelihood, Women Empowerment",Tel:  9711840266 Email:  ganesh@rainbowhome.in Website:  http://www.rainbowhome.in
Rainbow Manav Utthan Samiti,uttar pradesh,"Education, Environment, Health",Tel:  9451004647 Email:  rainbowsamiti@gmail.com Website:  http://www.rainbowsamiti.org
Rajabazar Education & Awareness Development Society (READS),west bengal,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9831274907 Email:  readssociety@gmail.com Website:  http://www.readssociety.com
Rajanet Yegneswaran Charitable Trust,karnataka,"Environment, Forestry, Rural Development",Tel:  9845449703 Email:  rajanetyeg@gmail.com Website:  http://www.reforestindia.in
Rajanet Yegneswaran Charitable Trust,tamil nadu,"Environment, Forestry, Rural Development",Tel:  9845449703 Email:  rajanetyeg@gmail.com Website:  http://www.reforestindia.in
Rajasthan Mahila Kalyan Mandal,rajasthan,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Women Empowerment / Gender",Tel:  9413223809 Email:  rmkm_ajm@yahoo.com Website:  http://www.rmkm.org.in
Rajasthan Samgrah Kalyan Sansthan,rajasthan,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment","Tel:  9783788889, 9829007690 Email:  rsksindiaorg@gmail.com Website:  https://www.rsksindia.ngo"
Rajputana Society Of Natural History,madhya pradesh,"Agriculture, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9829144163 Email:  rsnhudr@gmail.com Website:  http://www.rsnh.in
Rajputana Society Of Natural History,maharashtra,"Agriculture, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9829144163 Email:  rsnhudr@gmail.com Website:  http://www.rsnh.in
Rajputana Society Of Natural History,rajasthan,"Agriculture, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9829144163 Email:  rsnhudr@gmail.com Website:  http://www.rsnh.in
Rajsamand Jan Vikas Sansthan,rajasthan,"Disaster Prevention, Education, Environment, Livelihood, Women Empowerment",Tel:  9929826721 Email:  rjvs10@yahoo.in Website:  http://www.rjvs.in
Raksana Charitable Trust,karnataka,"Education, Rural Development, Women Empowerment",Tel:  9740049940 Email:  subakar@rakshana.org Website:   http://www.rakshana.org
Rashtriya Seva Samithi (RASS),andhra pradesh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849983760 Email:  rassorg@gmail.com Website:  http://www.rassngo.org
Rashtriya Seva Samithi (RASS),odisha,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849983760 Email:  rassorg@gmail.com Website:  http://www.rassngo.org
Rashtriya Seva Samithi (RASS),tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849983760 Email:  rassorg@gmail.com Website:  http://www.rassngo.org
Rasta,delhi,"Education, Health, Women Empowerment",Tel:  9868268418 Email:  info@rasta.org.in Website:  http://www.rasta.org.in
Rasta,haryana,"Education, Health, Women Empowerment",Tel:  9868268418 Email:  info@rasta.org.in Website:  http://www.rasta.org.in
Rasta,uttar pradesh,"Education, Health, Women Empowerment",Tel:  9868268418 Email:  info@rasta.org.in Website:  http://www.rasta.org.in
Rays Aasha Ki Ek Kiran,rajasthan,Health,Tel:  9784517200 Email:  raysjaipur@gmail.com Website:  http://www.ngoraysjaipur.org
Raza Welfare Committee,gujarat,"Agriculture, Education, Rural Development, Women Empowerment",Tel:  9723025444 Email:  h_jikani@yahoo.com Website:  http://www.razawelfare.in
Reach India Trust,assam,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,bihar,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,chhattisgarh,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,jharkhand,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,meghalaya,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,mizoram,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,nagaland,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,odisha,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,sikkim,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,tripura,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reach India Trust,west bengal,"Agriculture, Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9804461693 Email:  rbasu@reach-india.org Website:  http://www.reach-india.org/
Reaching Hand,andaman and nicobar islands,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,goa,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,himachal pradesh,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,jammu & kashmir,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,karnataka,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,kerala,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,ladakh,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,maharashtra,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,odisha,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,sikkim,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reaching Hand,tamil nadu,"Disaster Prevention, Education, Environment, Health, Livelihood, Women Empowerment",Tel:  9880019216 Email:  info@reachinghand.org Website:  https://www.reachinghand.org/
Reshama Gramin Vikas Sangh,bihar,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9934007529 Email:  rgvsjbad@gmail.com Website:  https://www.rgvsngo.org
Resource Centre For Participatory Development Studies (RCPDS),tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9842999511 Email:  rcpdsmdu@gmail.com Website:  http://www.rcpds.org
Resource Exchange Trust,andhra pradesh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9940508764 Email:  retrust99@gmail.com Website:  http://www.resourceexchangetrust.org
Resource Exchange Trust,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9940508764 Email:  retrust99@gmail.com Website:  http://www.resourceexchangetrust.org
Resource Foundation,tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9122060027 Email:  resource.f@rediffmail.com Website:  http://www.resourcefoundationngo.org
Rishi Pragatisheel Shikshan Sansthan,uttar pradesh,Education,Tel:  8858504470 Email:  littlestaraghor@gmail.com Website:  http://www.littlestarsschool.org
Ritham Charitable Trust,tamil nadu,Education,Tel:  9842945029 Email:  rithamschool@yahoo.co.in Website:  http://www.rithamschool.org
Rotary Seva Trust,maharashtra,Health,Tel:  9422069871 Email:  rgsanar@yahoo.co.in Website:  http://www.rotarysevatrust.org/
Routes 2 Roots,andaman and nicobar islands,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,andhra pradesh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,arunachal pradesh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,assam,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,bihar,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,chandigarh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,chattisgarh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,dadra and nagar haveli,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,daman & diu,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,delhi,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,goa,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,gujarat,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,haryana,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,himachal pradesh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,jammu & kashmir,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,jharkhand,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,karnataka,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,kerala,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,ladakh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,lakshwadeep,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,madhya pradesh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,maharashtra,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,manipur,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,meghalaya,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,mizoram,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,nagaland,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,odisha,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,puducherry,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,punjab,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,rajasthan,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,sikkim,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,tamil nadu,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,telangana,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,tripura,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,uttarakhand,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,uttar pradesh,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Routes 2 Roots,west bengal,Education,Tel:  8375003878 Email:  tanishka@routes2roots.com Website:  https://www.routes2roots.com/
Royal Vision,tamil nadu,"Education, Environment, Health, Rural Development",Tel:  9942979649 Email:  ulagasandron.m@gmail.com Website:  http://www.royalvisiontrust.org
Ruchika Social Service Organization,odisha,"Education, Water, Sanitation & Hygiene",Tel:  9090704726 Email:  rssobbs@hotmail.com Website:  http://www.ruchika.org
Ruckmoni Memorial Charitable Educational Health Trust,kerala,Health,Tel:  9447042027 Email:  ruckmoni.fundraising@gmail.com Website:  http://www.ruckmonihealthtrust.in/
Rural Action For Social Service,andhra pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9966173086 Email:  ruralaction2002@gmail.com Website:   http://WWW.ruralaction.com
Rural Action To Keep Safe Heritage And Natural Assets (RAKSHANA),andhra pradesh,"Disaster Prevention, Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9848126064 Email:  rakshana_in@rediffmail.com Website:  http://www.rakshanaindia.org
Rural Care Ministries,andhra pradesh,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9346504751 Email:  ruralcarengo@gmail.com Website:  http://www.ruralcareministries.org
Rural Communes,maharashtra,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9869001965 Email:  ruralcommunes@gmail.com Website:  http://www.ruralcommunes.org 
Rural Development Council,tamil nadu,"Education, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9443087102 Email:  rdctribal@gmail.com Website:  http://www.rdctribal.org
Rural Education And Liberty (REAL),andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  7842827416 Email:  real.chittoor59@gmail.com Website:  http://www.real59.com
Rural Education Youth Development Service Trust (REYDS),tamil nadu,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8072405685 Email:  reydstrust@gmail.com Website:  http://www.reydstrust.org
Rural Health Care Foundation,west bengal,Health,Tel:  9830088218 Email:  rhcf2009@gmail.com Website:  http://ruralhealthcarefoundation.com/
Rural India Self Development Trust,andhra pradesh,"Education, Health, Rural Development",Tel:  9502263121 Email:  risdtindia@gmail.com Website:  http://www.risdt.org.com
Rural Institute Of Centre For Excellence (RICE),andhra pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849158728 Email:  rice.info@yahoo.in Website:  http://www.riceorganization.com/
Rural Institute Of Centre For Excellence (RICE),telangana,"Agriculture, Education, Forestry, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849158728 Email:  rice.info@yahoo.in Website:  http://www.riceorganization.com/
Rural Integrated And Social Education Society (RISES),andhra pradesh,"Agriculture, Disaster Prevention, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849757164 Email:  risesap@yahoo.com Website:  http://rises.org.in/?reqp=1&reqr=
Rural Integrated And Social Education Society (RISES),karnataka,"Agriculture, Disaster Prevention, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849757164 Email:  risesap@yahoo.com Website:  http://rises.org.in/?reqp=1&reqr=
Rural Integrated And Social Education Society (RISES),maharashtra,"Agriculture, Disaster Prevention, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849757164 Email:  risesap@yahoo.com Website:  http://rises.org.in/?reqp=1&reqr=
Rural Integrated And Social Education Society (RISES),telangana,"Agriculture, Disaster Prevention, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9849757164 Email:  risesap@yahoo.com Website:  http://rises.org.in/?reqp=1&reqr=
Rural Integrated Development Society,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9440528626 Email:  ridsgrl@gmail.com Website:  https://ridsgrl.wixsite.com/rids
Rural Litigation And Entitlement Kendra (RLEK),haryana,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Litigation And Entitlement Kendra (RLEK),himachal pradesh,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Litigation And Entitlement Kendra (RLEK),jharkhand,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Litigation And Entitlement Kendra (RLEK),rajasthan,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Litigation And Entitlement Kendra (RLEK),uttarakhand,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Litigation And Entitlement Kendra (RLEK),uttar pradesh,"Education, Environment, Rural Development, Women Empowerment","Tel:  9358101392, 9760274382 Email:  rlek.org@gmail.com Website:  http://www.rlek.org"
Rural Organisation For Social And Education Trust,tamil nadu,"Agriculture, Environment, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9442617653 Email:  rosetrust2007@gmail.com Website:  http://www.rosetrust.org
Rural Outright Development Society,jharkhand,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9939691770 Email:  rodsjharkhand@gmail.com Website:  http://www.rodsindia.org
Rural Outright Development Society,west bengal,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9939691770 Email:  rodsjharkhand@gmail.com Website:  http://www.rodsindia.org
Rural People's Sangam,tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9786258641 Email:  rpsindia1@gmail.com Website:  http://wwwrpsngo.org
Rural Reconstruction Society,andhra pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9885870972 Email:  rrsmpl@gmail.com Website:  http://www.rrsindia.org
Rural Women Development Trust,tamil nadu,"Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9894161950 Email:  rwdtalamelu@gmail.com Website:  http://www.ruralwomenindia.org
Saath Charitable Trust,gujarat,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825005198 Email:  kruti@saath.org  Website:  http://saath.org/
Saath Charitable Trust,rajasthan,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825005198 Email:  kruti@saath.org  Website:  http://saath.org/
Saath Charitable Trust,uttar pradesh,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825005198 Email:  kruti@saath.org  Website:  http://saath.org/
Sadbhav Foundation,gujarat,"Agriculture, Disaster Prevention, Environment, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825069514 Email:  Sadbhavfoundation@gmail.com Website:  http://www.sasbhavfoundation.org
Sadhan,odisha,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9337118142 Email:  sadhanisc@gmail.com Website:  http://www.sadhanisc.org
Sadhana Education And Rural Development Society,karnataka,"Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9741042992 Email:  sadhana.org.kar@gmail.com Website:  http://www.serds.com
